Date,Label,Location,Description,Image
08/23/1942 - 02/02/1943 AD,Battle of Stalingrad,"Stalingrad (Volgograd), USSR","The fierce five-month confrontation for Stalingrad on the Volga River devolves into savage close-quarters urban combat. Soviet Operation Uranus encircles the German 6th Army, culminating in the surrender of Field Marshal Paulus and turning the strategic tide on the Eastern Front.",https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=1000&q=80
10/23/1942 - 11/11/1942 AD,Second Battle of El Alamein,"El Alamein, Egypt","British Eighth Army under Lieutenant-General Bernard Montgomery launches Operation Lightfoot against Field Marshal Erwin Rommel's Panzer Army Africa in Egypt. The crushing Allied victory halts Axis expansion toward the Suez Canal.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
06/06/1944 AD,D-Day: Normandy Landings (Operation Overlord),"Normandy, Northern France","The largest amphibious invasion in human history commences as over 156,000 Allied troops land across five fortified beachheads (Utah, Omaha, Gold, Juno, Sword) in Normandy, France, establishing a western front to liberate Europe.",https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1000&q=80
08/25/1944 AD,Liberation of Paris,"Paris, France","Following four years of German occupation and a week-long uprising by the French Resistance, the French 2nd Armored Division and US 4th Infantry Division liberate Paris. General Charles de Gaulle leads a triumphal procession down the Champs-Élysées.",https://images.unsplash.com/photo-1502602898657-3e91760cbb34?auto=format&fit=crop&w=1000&q=80
12/16/1944 - 01/25/1945 AD,Battle of the Bulge,"Ardennes Forest, Belgium & Luxembourg","Adolf Hitler launches a major counter-offensive through the forested Ardennes region in Belgium, aiming to split Allied armies and recapture Antwerp. Despite initial German surprise advances, stubborn American defense at Bastogne and Allied air power repel the assault.",https://images.unsplash.com/photo-1491557345352-5929e343eb89?auto=format&fit=crop&w=1000&q=80
02/19/1945 - 03/26/1945 AD,Battle of Iwo Jima,"Iwo Jima, Volcano Islands, Japan","United States Marine Corps units make amphibious landings on the volcanic island of Iwo Jima to secure key emergency airfields for B-29 bombers, culminating in the iconic raising of the American flag atop Mount Suribachi.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
04/16/1945 - 05/02/1945 AD,Battle of Berlin,"Berlin, Germany","The final major European offensive of World War II. Soviet Red Army forces surround and assault the Nazi capital street-by-street. On April 30, Adolf Hitler commits suicide in his underground bunker, and the Berlin garrison surrenders on May 2.",https://images.unsplash.com/photo-1560969184-10fe8719e047?auto=format&fit=crop&w=1000&q=80
05/08/1945 AD,Victory in Europe (V-E Day),"Reims, France & Berlin, Germany","The German High Command issues an unconditional surrender of all German forces to Allied commanders in Reims and Berlin, formally ending the war in Europe and triggering jubilant celebrations across Allied nations.",https://images.unsplash.com/photo-1533105079780-92b9be482077?auto=format&fit=crop&w=1000&q=80
08/06/1945 AD,Atomic Bombing of Hiroshima,"Hiroshima, Japan","The US Army Air Forces B-29 Superfortress 'Enola Gay' drops the uranium-fueled atomic bomb 'Little Boy' over Hiroshima, Japan, followed by 'Fat Man' over Nagasaki on August 9, demonstrating the unprecedented destructive power of nuclear warfare.",https://images.unsplash.com/photo-1451187580459-43490279c0fa?auto=format&fit=crop&w=1000&q=80
09/02/1945 AD,Victory over Japan & Formal Surrender,"Tokyo Bay (USS Missouri), Japan","Representatives of the Empire of Japan sign the Japanese Instrument of Surrender aboard the battleship USS Missouri anchored in Tokyo Bay in the presence of General Douglas MacArthur and Allied representatives, officially concluding World War II.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
